"Code Pays";"Code Voyage";"Intitulé";"Durée (jours)";"Description";"Résidence"
"AFR";"AFR251";"Prétoria, l'éternelle";"21";"Prétoria est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles dans un parc arboré"
"AFR";"AFR318";"Afrique du Sud: bien plus que Prétoria";"15";"Découvrez une autre facette de la vie en Afrique du Sud. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 5 étoiles dans un parc arboré"
"ALB";"ALB198";"Découverte de Tirana";"21";"Destination majeure en Albanie, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel avec piscine"
"ALB";"ALB234";"Albanie: bien plus que Tirana";"15";"Découvrez une autre facette de la vie en Albanie. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec accès direct sur la plage"
"ALG";"ALG172";"Alger, l'éternelle";"21";"Destination majeure en Algérie, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux"
"ALG";"ALG370";"Algérie autrement";"17";"Non loin de Alger, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Chalet individuel avec piscine"
"ALL";"ALL269";"Découverte de Berlin";"21";"Berlin est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles"
"ALL";"ALL335";"Séjour vert en Allemagne";"19";"Non loin de Berlin, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 4 étoiles"
"AND";"AND166";"Découverte de Andorre-la-Vieille";"11";"Destination majeure en Andorre, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles dans un parc arboré"
"AND";"AND280";"Séjour vert en Andorre";"19";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux avec accès direct sur la plage"
"ANG";"ANG137";"Luanda, l'éternelle";"16";"Destination majeure en Angola, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles"
"ANG";"ANG302";"Angola autrement";"11";"Découvrez une autre facette de la vie en Angola. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles"
"ARG";"ARG207";"Découverte de Buenos Aires";"9";"Destination majeure en Argentine, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel"
"ARG";"ARG372";"Argentine: bien plus que Buenos Aires";"7";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles dans un parc arboré"
"ARM";"ARM193";"Erévan: ville incroyable";"8";"Destination majeure en Arménie, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles"
"ARM";"ARM296";"Arménie: bien plus que Erévan";"11";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Chalet individuel"
"AUS";"AUS179";"Canberra: ville incroyable";"19";"Destination majeure en Australie, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux avec accès direct sur la plage"
"AUS";"AUS230";"Australie autrement";"19";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles avec accès direct sur la plage"
"AUT";"AUT298";"Vienne: ville incroyable";"7";"Destination majeure en Autriche, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel dans un parc arboré"
"AUT";"AUT461";"Autriche: bien plus que Vienne";"16";"Non loin de Vienne, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel dans un parc arboré"
"AZE";"AZE207";"Découverte de Bakou";"17";"Destination majeure en Azerbaïdjan, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles avec accès direct sur la plage"
"AZE";"AZE370";"Azerbaïdjan autrement";"19";"Découvrez une autre facette de la vie en Azerbaïdjan. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux"
"BAH";"BAH276";"Nassau: ville incroyable";"15";"Destination majeure en Bahama, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel dans un parc arboré"
"BAH";"BAH383";"Bahama: bien plus que Nassau";"17";"Non loin de Nassau, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux"
"BAN";"BAN205";"Dacca: ville incroyable";"16";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel avec piscine"
"BAN";"BAN386";"Séjour vert en Bangladesh";"13";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux avec piscine"
"BAR";"BAR128";"Bridgetown, l'éternelle";"17";"Bridgetown est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles avec accès direct sur la plage"
"BAR";"BAR211";"Barbade: bien plus que Bridgetown";"13";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux avec piscine"
"BEL";"BEL292";"Bruxelles, l'éternelle";"8";"Bruxelles est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Bungalow luxueux dans un parc arboré"
"BEL";"BEL324";"Séjour vert en Belgique";"8";"Découvrez une autre facette de la vie en Belgique. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Chalet individuel"
"BEN";"BEN213";"Découverte de Porto Novo";"14";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux avec accès direct sur la plage"
"BEN";"BEN392";"Bénin autrement";"21";"Non loin de Porto Novo, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel"
"BER";"BER221";"Hamilton, l'éternelle";"14";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel avec piscine"
"BER";"BER361";"Bermudes autrement";"12";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Chalet individuel avec piscine"
"BHO";"BHO201";"Thimbu, l'éternelle";"14";"Thimbu est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux avec piscine"
"BHO";"BHO301";"Bhoutan autrement";"15";"Découvrez une autre facette de la vie en Bhoutan. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec accès direct sur la plage"
"BIE";"BIE150";"Découverte de Minsk";"17";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel avec piscine"
"BIE";"BIE203";"Biélorussie autrement";"13";"Découvrez une autre facette de la vie en Biélorussie. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux avec piscine"
